sentence,sentiment,category
pew research center conducted study understand american view artificial intelligence ai us health medicine,negative,Health Care
"analysis surveyed eleven thousand and four u adult dec one thousand, two hundred and eighteen two thousand and twenty-two",postive,Health Care
everyone took part survey member center american trend panel atp online survey panel recruited national random sampling residential address,negative,Health Care
way nearly u adult chance selection,postive,Health Care
survey weighted representative u adult population gender race ethnicity partisan affiliation education category,postive,Health Care
read theatps methodology,neutral,Health Care
thequestions usedfor report along response andits methodology,neutral,Health Care
part series survey report look increasingrole aiin shaping american life,neutral,Health Care
readpublic awareness artificial intelligence everyday activitiesand american view emerging us artificial intelligence including program generate text art,negative,Health Care
new pew research center survey explores public view artificial intelligence ai inhealth medicine area american mayincreasingly encountertechnologies thing like screen skin cancer even monitor patient vital sign,negative,Health Care
survey find personal level there significant discomfort among american idea ai used health care,postive,Health Care
sixinten u adult say would feeluncomfortableif health care provider relied artificial intelligence thing like diagnose disease recommend treatment significantly smaller share thirty-nine say would feel comfortable,negative,Health Care
one factor view majority public unconvinced use ai health medicine would improve health outcome,neutral,Health Care
"pew research center survey conducted dec one thousand, two hundred and eighteen two thousand and twenty-two eleven thousand and four u adult find thirty-eight say ai used thing like diagnose disease recommend treatment would lead better health outcome patient generally thirty-three say would lead worse outcome twenty-seven say wouldnt make much difference",postive,Health Care
finding come public attitude toward ai continue take shape amid ongoing adoption ai technology across industry accompanying national conversation benefit risk ai application present society,neutral,Health Care
read recent center analysis public awareness ofai daily lifeand perception much advancementemerging ai application represent field,postive,Health Care
asked detail use artificial intelligence would impact health medicine american identify mix positive negative,negative,Health Care
positive side larger share american think use ai health medicine would reduce rather increase number mistake made health care provider forty v twenty-seven,postive,Health Care
among majority american see problem racial ethnic bias health care much larger share say problem bias unfair treatment would get better fifty-one worse fifteen ai used thing like diagnose disease recommend treatment patient,negative,Health Care
wide concern ai potential impact personal connection patient health care provider fifty-seven say use artificial intelligence thing like diagnose disease recommend treatment would make patientprovider relationship worse,negative,Health Care
thirteen say would better,postive,Health Care
security health record also source concern american thirty-seven think using ai health medicine would make security patient record worse compared twenty-two think would improve security,negative,Health Care
though american identify mix pro con regarding use ai health medicine caution remains dominant theme public view,neutral,Health Care
come pace technological adoption threequarters american say greater concern health care provider move fast implementing ai health medicine fully understanding risk patient far fewer twenty-three say concerned provider move slowly missing opportunity improve patient health,postive,Health Care
concern pace ai adoption health care widely shared across group public including familiar artificial intelligence technology,negative,Health Care
openness use ai person health care among demographic group discomfort remains predominant sentiment,neutral,Health Care
among men forty-six say would comfortable use ai health care thing like diagnose disease recommend treatment fifty-four say would uncomfortable,negative,Health Care
woman express even negative view sixty-six say would uncomfortable provider relying ai care,negative,Health Care
higher level education income well younger adult open ai health care group,postive,Health Care
still case half express discomfort health care provider relying ai,negative,Health Care
among say heard lot artificial intelligence fifty comfortable use ai health care equal share say uncomfortable,negative,Health Care
comparison majority heard little sixty-three nothing seventy ai say would uncomfortable health care provider using ai,negative,Health Care
stage development modest share american see ai delivering improvement patient outcome,postive,Health Care
overall thirty-eight think ai health medicine would lead better overall outcome patient,postive,Health Care
slightly fewer thirty-three think would lead worse outcome twenty-seven think would much effect,negative,Health Care
men younger adult higher level education positive impact ai patient outcome group consistent pattern seen personal comfort ai health care,postive,Health Care
instance fifty postgraduate degree think use ai thing like diagnose disease recommend treatment would lead better health outcome patient significantly fewer twenty-six think would lead worse outcome,postive,Health Care
american heard lot ai also optimistic impact ai health medicine patient outcome le familiar artificial intelligence technology,negative,Health Care
american anticipate range positive negative effect use ai health medicine,negative,Health Care
public generally optimistic potential impact ai medical error,postive,Health Care
fourinten american say ai would reduce number mistake made health care provider twenty-seven think use ai would lead mistake thirty-one say would much difference,postive,Health Care
many also see potential downside use ai health medicine,postive,Health Care
greater share american say use ai would make security patient health record worse thirty-seven better twenty-two,postive,Health Care
fifty-seven american expect patient personal relationship health care provider deteriorate use ai health care setting,neutral,Health Care
public divided question would impact quality care thirty-one think using ai health medicine would make care people like better many thirty say would make care worse thirty-eight say wouldnt make much difference,postive,Health Care
come bias unfair treatment health medicine based patient race ethnicity majority american say major thirty-five minor thirty-five problem twenty-eight say racial ethnic bias problem health medicine,negative,Health Care
longstanding effort thefederal governmentand across thehealth medical care sectorsto address racial ethnic inequity access care health outcome,neutral,Health Care
black adult especially likely say bias based patient race ethnicity amajorproblem health medicine sixty-four,negative,Health Care
fourinten hispanic forty-two englishspeaking asian adult thirty-nine also say,postive,Health Care
smaller share white adult twenty-seven describe bias unfair treatment related patient race ethnicity major problem health medicine,negative,Health Care
balance see bias based race ethnicity problem health medicine think ai potential improve situation,neutral,Health Care
half fifty-one see problem think increased use ai health care would help reduce bias unfair treatment compared fifteen say use ai would make bias unfair treatment worse,negative,Health Care
third say problem would stay,neutral,Health Care
among see problem bias health medicine larger share think use ai would make issue better worse among white fifty-four v twelve respectively hispanic fifty v nineteen englishspeaking asian fifty-eight v fifteen adult,postive,Health Care
view among black adult also lean positive negative direction smaller margin forty v twenty-five,negative,Health Care
note asian adult center estimate representative english speaker,neutral,Health Care
asian adult higher level english language proficiency tend higher level ofeducation family incomethan asian adult u lower level english language proficiency,postive,Health Care
asked detail view impact ai bias health medicine think would improve situation often explain view describing ai objective dispassionate human,neutral,Health Care
instance thirty-six say ai would improve racial ethnic bias medicine neutral consistent people human prejudice involved,postive,Health Care
another twenty-eight explain view expressing sense ai biased toward patient characteristic,negative,Health Care
example sentiment include respondent say ai would blind patient race ethnicity would biased toward overall appearance,negative,Health Care
among think problem bias health medicine would stay use ai twenty-eight say main reason people design train ai data ai us still biased,postive,Health Care
oneinten eight group say ai would change issue bias human care provider would primarily treating people even ai adopted change would expected,postive,Health Care
among believe ai make bias unfair treatment based patient race ethnicity worse twenty-eight explain viewpoint saying thing like ai reflects human bias data ai trained reflect bias,negative,Health Care
another reason given ten group ai would make problem worse human judgment needed medicine,negative,Health Care
response emphasized importance personalized care offered provider expressed view ai would able replace aspect health care,postive,Health Care
center survey explores view four specific application ai health medical care use today developed widespread use aibased tool skin cancer screening aidriven robot perform part surgery aibased recommendation pain management following surgery ai chatbots designed support person mental health,negative,Health Care
public awareness ai health medicine still process developing yet even early stage american make distinction type application le open,postive,Health Care
instance majority say would want aibased skin cancer detection used care think technology would improve accuracy diagnosis,neutral,Health Care
contrast large share american say would want three aidriven application used care,postive,Health Care
american view impact four development read american view emerging us artificial intelligence including program generate text art,negative,Health Care
ai used skin cancer detection scan image people skin flag area may skin cancer testing,neutral,Health Care
nearly twothirds u adult sixty-five say would definitely probably want ai used skin cancer screening,postive,Health Care
consistent view half fifty-five believe ai would make skin cancer diagnosis accurate,postive,Health Care
thirteen believe would lead le accurate diagnosis thirty think wouldnt make much difference,postive,Health Care
whole american aware ai application view advance medical care fifty-two describe major advance twenty-seven call minor advance,postive,Health Care
seven say advance medical care,neutral,Health Care
majority major demographic group say would want ai used screening skin cancer men younger adult higher education level particularly enthused,postive,Health Care
larger majority men seventy-two woman fifty-eight say would want ai used screening skin cancer,neutral,Health Care
black adult fifty-seven somewhat le likely white sixty-five hispanic sixty-nine adult say would want ai used skin cancer screening,postive,Health Care
expert raisedquestions accuracyof aibased skin cancer system darker skin tone,neutral,Health Care
younger adult open using form ai older adult college degree likely say would want without college degree,postive,Health Care
addition heard least little use ai skin cancer screening likely heard nothing say would want tool used care seventy-five v sixty-two,negative,Health Care
ai used help physiciansprescribe pain medication,neutral,Health Care
aibased pain management system designed minimize chance patient becoming addicted abusing medication use machine learning model predict thing like patient high risk severe pain patient could benefit pain management technique involve opioids,postive,Health Care
asked consider preference treatment pain following surgery thirty-one american say would want kind ai guiding pain management treatment twothirds sixty-seven say would,postive,Health Care
reluctance line people belief effect aibased pain management recommendation,neutral,Health Care
quarter twenty-six u adult say pain treatment would get better ai majority say either would make little difference forty lead worse pain care thirty-two,postive,Health Care
among say theyve heard least little use ai fewer half thirty see major advance medical care another thirty-seven call minor advance,negative,Health Care
comparison larger share aware aibased skin cancer detection aidriven robot surgery view application major advance medical care,postive,Health Care
familiarity aibased pain management system open using ai care plan,neutral,Health Care
say heard least little forty-seven say would want aibased recommendation used postop pain treatment compared fifty-one say would want,negative,Health Care
comparison large majority seventy-two familiar technology prior survey say would want,postive,Health Care
demographic difference question generally modest majority group saying wouldnotwant ai help decide pain treatment program following surgery,postive,Health Care
aidriven robot development could complete surgical procedure full autonomy human surgeon,postive,Health Care
aibased surgical robot tested performparts complex surgical proceduresand expected increase precision consistency surgical operation,negative,Health Care
american cautious toward idea surgical robot used care fourinten say would want aibased robotics surgery compared fifty-nine say would want,neutral,Health Care
still american least awareness aibased surgical robot large convinced represent advance medical science fifty-six group say major advance another twenty-two call minor advance,negative,Health Care
american view advance artificial intelligence read american view emerging us artificial intelligence including program generate text art public familiarity idea aibased surgical robot higher three health medical application included survey fifty-nine say heard least little development,negative,Health Care
ai application included survey unfamiliar aidriven robot surgery especially likely say would want used care seventy-four say,neutral,Health Care
heard use ai evenly divided fifty say would want aidriven robot used surgery forty-nine say wouldnt want,neutral,Health Care
across demographic group men inclined woman say would want aibased robot surgery forty-seven v thirty-three,neutral,Health Care
higher level education open technology lower level education,postive,Health Care
little difference view older younger adult majority across age group say wouldnotwant aibased robot surgery,postive,Health Care
contrast preference us ai medical care younger adult likely older adult say would want ai application skin cancer screening pain management,postive,Health Care
chatbots aimed atsupporting mental healthuse ai offer mindfulness checkins automated conversation may supplement potentially provide alternative counseling therapy offered licensed health care professional,neutral,Health Care
several chatbot platform available today,postive,Health Care
touted way support mental health wellness available ondemand may appeal reluctant seek inperson support looking affordable option,postive,Health Care
public reaction idea using ai chatbot mental health support decidedly negative,negative,Health Care
eightinten u adult seventy-nine say would want use ai chatbot seeking mental health support far fewer twenty say would want,postive,Health Care
sign caution toward ai chatbots mental health support forty-six u adult say ai chatbots used people also seeing therapist another twenty-eight say available people,postive,Health Care
twenty-three american say chatbots available people regardless whether also seeing therapist,postive,Health Care
