sentence,sentiment,category
pew research center conducted study understand american view artificial intelligence ai us health medicine,negative,Health Care
analysis surveyed 11004 u adult dec 1218 2022,postive,Health Care
everyone took part survey member center american trend panel atp online survey panel recruited national random sampling residential address,negative,Health Care
way nearly u adult chance selection,postive,Health Care
survey weighted representative u adult population gender race ethnicity partisan affiliation education category,postive,Health Care
read theatps methodology,neutral,Health Care
thequestions usedfor report along response andits methodology,neutral,Health Care
part series survey report look increasingrole aiin shaping american life,neutral,Health Care
readpublic awareness artificial intelligence everyday activitiesand american view emerging us artificial intelligence including program generate text art,negative,Health Care
new pew research center survey explores public view artificial intelligence ai inhealth medicine area american mayincreasingly encountertechnologies thing like screen skin cancer even monitor patient vital sign,negative,Health Care
survey find personal level there significant discomfort among american idea ai used health care,postive,Health Care
sixinten u adult say would feeluncomfortableif health care provider relied artificial intelligence thing like diagnose disease recommend treatment significantly smaller share 39 say would feel comfortable,negative,Health Care
one factor view majority public unconvinced use ai health medicine would improve health outcome,neutral,Health Care
pew research center survey conducted dec 1218 2022 11004 u adult find 38 say ai used thing like diagnose disease recommend treatment would lead better health outcome patient generally 33 say would lead worse outcome 27 say wouldnt make much difference,postive,Health Care
finding come public attitude toward ai continue take shape amid ongoing adoption ai technology across industry accompanying national conversation benefit risk ai application present society,neutral,Health Care
read recent center analysis public awareness ofai daily lifeand perception much advancementemerging ai application represent field,postive,Health Care
asked detail use artificial intelligence would impact health medicine american identify mix positive negative,negative,Health Care
positive side larger share american think use ai health medicine would reduce rather increase number mistake made health care provider 40 v 27,postive,Health Care
among majority american see problem racial ethnic bias health care much larger share say problem bias unfair treatment would get better 51 worse 15 ai used thing like diagnose disease recommend treatment patient,negative,Health Care
wide concern ai potential impact personal connection patient health care provider 57 say use artificial intelligence thing like diagnose disease recommend treatment would make patientprovider relationship worse,negative,Health Care
13 say would better,postive,Health Care
security health record also source concern american 37 think using ai health medicine would make security patient record worse compared 22 think would improve security,negative,Health Care
though american identify mix pro con regarding use ai health medicine caution remains dominant theme public view,neutral,Health Care
come pace technological adoption threequarters american say greater concern health care provider move fast implementing ai health medicine fully understanding risk patient far fewer 23 say concerned provider move slowly missing opportunity improve patient health,postive,Health Care
concern pace ai adoption health care widely shared across group public including familiar artificial intelligence technology,negative,Health Care
openness use ai person health care among demographic group discomfort remains predominant sentiment,neutral,Health Care
among men 46 say would comfortable use ai health care thing like diagnose disease recommend treatment 54 say would uncomfortable,negative,Health Care
woman express even negative view 66 say would uncomfortable provider relying ai care,negative,Health Care
higher level education income well younger adult open ai health care group,postive,Health Care
still case half express discomfort health care provider relying ai,negative,Health Care
among say heard lot artificial intelligence 50 comfortable use ai health care equal share say uncomfortable,negative,Health Care
comparison majority heard little 63 nothing 70 ai say would uncomfortable health care provider using ai,negative,Health Care
stage development modest share american see ai delivering improvement patient outcome,postive,Health Care
overall 38 think ai health medicine would lead better overall outcome patient,postive,Health Care
slightly fewer 33 think would lead worse outcome 27 think would much effect,negative,Health Care
men younger adult higher level education positive impact ai patient outcome group consistent pattern seen personal comfort ai health care,postive,Health Care
instance 50 postgraduate degree think use ai thing like diagnose disease recommend treatment would lead better health outcome patient significantly fewer 26 think would lead worse outcome,postive,Health Care
american heard lot ai also optimistic impact ai health medicine patient outcome le familiar artificial intelligence technology,negative,Health Care
american anticipate range positive negative effect use ai health medicine,negative,Health Care
public generally optimistic potential impact ai medical error,postive,Health Care
fourinten american say ai would reduce number mistake made health care provider 27 think use ai would lead mistake 31 say would much difference,postive,Health Care
many also see potential downside use ai health medicine,postive,Health Care
greater share american say use ai would make security patient health record worse 37 better 22,postive,Health Care
57 american expect patient personal relationship health care provider deteriorate use ai health care setting,neutral,Health Care
public divided question would impact quality care 31 think using ai health medicine would make care people like better many 30 say would make care worse 38 say wouldnt make much difference,postive,Health Care
come bias unfair treatment health medicine based patient race ethnicity majority american say major 35 minor 35 problem 28 say racial ethnic bias problem health medicine,negative,Health Care
longstanding effort thefederal governmentand across thehealth medical care sectorsto address racial ethnic inequity access care health outcome,neutral,Health Care
black adult especially likely say bias based patient race ethnicity amajorproblem health medicine 64,negative,Health Care
fourinten hispanic 42 englishspeaking asian adult 39 also say,postive,Health Care
smaller share white adult 27 describe bias unfair treatment related patient race ethnicity major problem health medicine,negative,Health Care
balance see bias based race ethnicity problem health medicine think ai potential improve situation,neutral,Health Care
half 51 see problem think increased use ai health care would help reduce bias unfair treatment compared 15 say use ai would make bias unfair treatment worse,negative,Health Care
third say problem would stay,neutral,Health Care
among see problem bias health medicine larger share think use ai would make issue better worse among white 54 v 12 respectively hispanic 50 v 19 englishspeaking asian 58 v 15 adult,postive,Health Care
view among black adult also lean positive negative direction smaller margin 40 v 25,negative,Health Care
note asian adult center estimate representative english speaker,neutral,Health Care
asian adult higher level english language proficiency tend higher level ofeducation family incomethan asian adult u lower level english language proficiency,postive,Health Care
asked detail view impact ai bias health medicine think would improve situation often explain view describing ai objective dispassionate human,neutral,Health Care
instance 36 say ai would improve racial ethnic bias medicine neutral consistent people human prejudice involved,postive,Health Care
another 28 explain view expressing sense ai biased toward patient characteristic,negative,Health Care
example sentiment include respondent say ai would blind patient race ethnicity would biased toward overall appearance,negative,Health Care
among think problem bias health medicine would stay use ai 28 say main reason people design train ai data ai us still biased,postive,Health Care
oneinten 8 group say ai would change issue bias human care provider would primarily treating people even ai adopted change would expected,postive,Health Care
among believe ai make bias unfair treatment based patient race ethnicity worse 28 explain viewpoint saying thing like ai reflects human bias data ai trained reflect bias,negative,Health Care
another reason given 10 group ai would make problem worse human judgment needed medicine,negative,Health Care
response emphasized importance personalized care offered provider expressed view ai would able replace aspect health care,postive,Health Care
center survey explores view four specific application ai health medical care use today developed widespread use aibased tool skin cancer screening aidriven robot perform part surgery aibased recommendation pain management following surgery ai chatbots designed support person mental health,negative,Health Care
